,Price_FC,Lower,Upper
2025-10-28,345.1031826629796,2.1303440443152653,40939.39726002608
2025-10-29,345.5268784273121,1.950659257848451,44071.87710233249
2025-10-30,345.951094378388,1.7724050801173732,47685.76509316837
2025-10-31,346.3758311548595,1.654655783379405,51696.612499364775
2025-11-03,346.8010893961629,1.49437328003636,56041.12348668397
2025-11-04,347.2268697425197,1.3498355499049741,60732.48634647248
2025-11-05,347.6531728349372,1.2395793909770034,66267.54445957366
2025-11-06,348.0799993152099,1.15183311768776,71286.77392819735
2025-11-07,348.50734982592,1.0703021965219173,77450.04795309923
2025-11-10,348.93522501043896,0.9982762666417074,82635.53377838514
2025-11-11,349.36362551292785,0.9175243336751524,91190.45033097162
2025-11-12,349.79255197833874,0.8534067953810986,99110.81596812344
2025-11-13,350.2220050524155,0.7836864927846222,105438.69441098855
2025-11-14,350.6519853816948,0.727419193466879,114232.0111599861
2025-11-17,351.08249361350704,0.6753343143150554,123181.47286839028
2025-11-18,351.51353039597745,0.6288460704889599,132818.39483246004
2025-11-19,351.94509637802696,0.5774811821557541,142939.6590938351
2025-11-20,352.37719220937316,0.539704516120265,155967.74597909956
2025-11-21,352.80981854053135,0.5029130640273891,167766.54330425378
2025-11-24,353.2429760228155,0.467605818098381,180989.97918954617
2025-11-25,353.6766653083393,0.4370578846476102,194764.05828763577
2025-11-26,354.1108870500169,0.39984754161959946,209960.27588224004
2025-11-27,354.5456419015642,0.3700594682826987,228151.27638974512
2025-11-28,354.98093051749953,0.3425564873644399,245995.83141790133
2025-12-01,355.416753553145,0.3201638708528192,264790.76680428104
2025-12-02,355.85311166462714,0.29714490927638154,285647.4975006925
2025-12-03,356.29000550887804,0.2794537636633692,305768.6188338515
2025-12-04,356.7274357436364,0.25984414599608163,327440.15070057963
2025-12-05,357.1654030274484,0.2425987345179728,351968.56684797065
2025-12-08,357.6039080196688,0.2227829839025581,380286.1171342343
2025-12-09,358.0429513804617,0.2068160517832844,409029.5836404807
2025-12-10,358.482533770802,0.1925739779345116,440662.9822632112
2025-12-11,358.92265585247577,0.17579718911721376,477361.7106044656
2025-12-12,359.36331828808187,0.16375161100580393,516348.95981726376
2025-12-15,359.8045217410325,0.15273195497743858,549368.2605365597
2025-12-16,360.24626687555434,0.1428760190625917,604003.668090022
2025-12-17,360.6885543566896,0.1307065390153754,654632.0096555114
2025-12-18,361.1313848502971,0.11978866102828169,703677.0022093413
2025-12-19,361.57475902305293,0.11150403640679209,749254.5718608315
2025-12-22,362.01867754245194,0.1042330200631313,805885.9482864462
2025-12-23,362.46314107680826,0.09684362698220546,872945.2246921291
2025-12-24,362.9081502952567,0.08900981350228236,944281.4858723554
2025-12-25,363.35370586775343,0.08339490002159632,1011146.6958718441
2025-12-26,363.7998084650773,0.07780715221266515,1090078.4720041333
2025-12-29,364.24645875883067,0.07256986189050481,1181087.3185845022
2025-12-30,364.6936574214404,0.06855112682067344,1277549.4868078844
2025-12-31,365.1414051261589,0.06388073153939954,1373271.7494407594
2026-01-01,365.5897025470652,0.05866190277319277,1480860.181195153
2026-01-02,366.038550359066,0.053771851157066,1575685.3420919892
2026-01-05,366.48794923789643,0.050312560723612156,1681437.6255995054
2026-01-06,366.9378998601214,0.04696444036499028,1815291.5101813853
2026-01-07,367.3884029031363,0.04364680316639638,1959848.6390551021
2026-01-08,367.8394590451684,0.040733313713057245,2112878.5219421904
2026-01-09,368.2910689652774,0.03819056895350508,2271148.5176405124
2026-01-12,368.743233343357,0.035028962784442175,2433414.0413300395
2026-01-13,369.1959528601354,0.033144038838954164,2621687.1026846804
2026-01-14,369.64922819717657,0.03076859431877654,2882220.3143921485
2026-01-15,370.1030600368814,0.02794800805076756,3113980.9493484832
2026-01-16,370.5574490624885,0.02626135564062618,3361783.7074794513
2026-01-19,371.0123959580753,0.023941167154893903,3626580.7708087345
2026-01-20,371.4679014085591,0.022245940666329043,3897248.183164736
2026-01-21,371.9239660996982,0.020755789495949445,4224335.045254572
2026-01-22,372.38059071809266,0.019445956020965056,4546511.47823212
2026-01-23,372.8377759511856,0.017823632757712468,4893123.433888539
2026-01-26,373.29552248726424,0.01633787158466299,5278643.671788197
2026-01-27,373.7538310154606,0.01524383533502955,5674374.667053812
2026-01-28,374.212702225753,0.013855440908313926,6076868.137142082
2026-01-29,374.6721368089667,0.01270841826237894,6585318.851951923
2026-01-30,375.1321354567752,0.011889331474705086,7212818.947467223
2026-02-02,375.5926988617012,0.010944226982693204,7703951.038682815
2026-02-03,376.0538277171176,0.010189350568433201,8204111.724741891
2026-02-04,376.5155227172486,0.009365464771920419,8839266.677722473
2026-02-05,376.97778455717065,0.008459972035032837,9529743.951545972
2026-02-06,377.4406139328137,0.007907080329349085,10281246.86188855
2026-02-09,377.904011540962,0.007012032226251889,11300716.346049042
2026-02-10,378.3679780792554,0.006419828824379124,12555583.92534677
2026-02-11,378.83251424619016,0.005991295639468312,13581497.430997426
2026-02-12,379.2976207411201,0.005486209585391072,14517555.091392154
2026-02-13,379.7632982642578,0.005098456745799199,15605304.12623987
2026-02-16,380.2295475166753,0.004809698125164083,16887922.511242934
2026-02-17,380.6963692003056,0.004408677328613822,19196679.27731495
2026-02-18,381.16376401794327,0.004001212254094397,20775718.859375715
2026-02-19,381.6317326732459,0.0037396565256454075,22415633.444427427
2026-02-20,382.1002758707349,0.0035033537624413287,23849309.354171067
2026-02-23,382.56939431579667,0.00322008120393529,25656609.922458712
